Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000209;Almacen Electrico Robalino Rosero Alecro Cia Ltda;4;+59323959400;http://https://www.robalinorosero.com/;www.abb.com;Av America N18 29 Y Portoviejo;170103;Quito;Pichincha;Ecuador;
1000210;Almacenes Electricos Vitoria, S.A.;4;+34 945286922;http://www.alevisal.com;www.abb.com;Vitoriabidea, 21;01010;Vitoria;Araba;Spain;
1000211;Almacenes Electro Salamanca, S.L.;4;+34619386633;http://www.electroaviles.com;www.abb.com;C/ Esposos Curie, 35;37184;Villares de la Reina;Salamanca;Spain;
1000212;Almacenes Juan Montero Cia Lt;4;+59372863755;http://www.ajm.ec;www.abb.com;Av. Gil Ramirez Davalos 3-48 Y;010150;Cuenca;Azuay;Ecuador;
1000213;ALMATIL S.r.l.;4;+809 633 6161;http://www.almatil.com.do;www.abb.com;Carretera La Cuaba Km 3;10701;La Guayiga;Santo Domingo;Dominican Republic;
1000214;Almeer Industry For Control;4;+965 24571395;http://www.almeerindustries.com/;www.abb.com;No. 140-150 Amghara Industrial Area;61003;Ahmadi;Al Ahmadi;Kuwait;
1000215;Almoayyed Trading And Contracting;4;00973 17700777;http://www.almoayyedintl.com.bh;www.abb.com;Refinery Road No. 3501 Area 635;26259;Manama;Capital;Bahrain;
1000216;Alpincendie;4;+33479602417;http://www.alp-incendie.fr;www.abb.com;270 Rue Pierre Et Marie Curie;73490;La Ravoire;Savoie;France;
1000217;Alptec;4;+33145987340;http://www.alptec.fr;www.abb.com;2 Allee Du Pavillon;94520;Mandres Les Roses;Val-de-Marne;France;
1000218;Alta Tecnologia En Construccion, S.A. De C.V.;4;+524442730071;http://www.atcisa.com.mx;www.abb.com;Av. Mariano Escobedo No. 3 Col Popotla;11400;Ciudad de Mexico;Ciudad de Mexico;Mexico;
1000219;Altofeu Sarl;4;+33387050778;http://www.altofeu.fr;www.abb.com;2 Rue Maurice Vautrin;57590;Delme;Moselle;France;
1000220;Ameejee Valleejee & Sons (Pvt) Ltd;4;+922122625492;http://www.avs.com.pk;www.abb.com;Ameejee Chambers, Campbell Street;74200;Karachi;Sind;Pakistan;
1000221;American Technologies Inc;4;+63285840000;http://www.ati.com.ph;www.abb.com;#5 Ideal St. Cor Mccollough St., Brgy Addition Hills;1552;Mandaluyong City;NCR;Philippines;
1000222;Amper d.o.o.;4;+385 1 3882 523;http://www.amper.hr/;www.abb.com;TPC Precko, Slavenskoga 1;10000;Zagreb;Grad Zagreb;Croatia;
1000223;AMT Electric Pvt Ltd;4;+922518433392;http://www.amt-electric.com;www.abb.com;Office No. 3201-2, NSTP-NUST, Sector H-12, Islamabad, 44000-Pakistan;44000;Islamabad;Islamabad;Pakistan;
1000224;Andalan Bangun Bhuana Baru, PT;4;031-5353535,031-5464646;;www.abb.com;Jl. Tembaan No.17, Alun-alun Contong, Kec. Bubutan, Surabaya;60174;Jawa Timur;Jawa Timur;Indonesia;
1000225;Andaluza De Suministros Electricos Industriales, S.A.;4;+34 954 367 460;http://www.aseisa.es;www.abb.com;Metalurgia, 19 Y 21, Poligono Industrial Calonge;41007;Sevilla;Sevilla;Spain;
1000226;ANDRETY - CARPENTRAS;4;;http://www.andrety.fr/;www.abb.com;1113 Avenue Dwight-Eisenhower;84200;Carpentras;Vaucluse;France;
1000227;Andrety Saint Maximin;4;+33494598131;http://www.andrety.fr;www.abb.com;Route De Barjols;83470;Saint Maximin;Var;France;
1000228;Andrez Brajon Dupont Est - Epinal;4;+33329682525;http://www.andrezbrajon.fr;www.abb.com;7 Rue De La Voivre;88000;Epinal;Vosges;France;
