Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002059;Solar Polska Sp. z o.o.;4;91 485 44 00;http://www.solar.pl;www.abb.com;ul. Heyki 20-22;70-631;Szczecin;zachodniopomorskie;Poland;
1002060;Solar Polska Sp. z o.o.;4;12 638 91 00;http://www.solar.pl;www.abb.com;ul. Radzikowskiego 35;31-315;Krakow;malopolskie;Poland;
1002061;Solar Polska Sp. z o.o. Oddzial Bialystok;4;42 88 10 330;http://www.solar.pl;www.abb.com;ul. Mikolaja Kopernika 95;15-693;Bialystok;podlaskie;Poland;
1002062;Solar Sverige AB;4;+46 31 382 50 00;http://https://www.solar.se/;www.abb.com;Cypressgatan 3;621 58;Visby;Gotlands Lan;Sweden;
1002063;SOLUCIONES EN TABLEROS Y CONTROL, S.A. DE C.V.;4;+526622169590;http://www.solucionessiemens.com.mx;www.abb.com;LEANDRO P. GAXIOLA No. 551 COL. LUIS ENCINAS;83138;HERMOSILLO;Sonora;Mexico;
1002064;SOMATEM;4;+33 553 744860;http://www.espace-aubade.fr;www.abb.com;19 Route De Witry;51100;Reims;Marne;France;
1002065;Sonapro;4;;http://www.sonepar.com;www.abb.com;18 Quai Du Point Du Jour 18-20;92100;Boulogne Billancourt;Hauts-de-Seine;France;
1002066;SONAPRO CESTAS;4;;http://www.sonepar.com;www.abb.com;ZONE D'ACTIVITES DU POT EN PIN 2 CHEMIN DE CRUQUE PIGNON;33610;CESTAS;Gironde;France;
1002067;SONAPRO LE PONTET;4;;http://www.sonepar.com;www.abb.com;2700 ROUTE DE SORGUES LIEU DIT PERIGORD NORD;84130;LE PONTET;Vaucluse;France;
1002068;Sonepar;4;;http://www.sonepar.com;www.abb.com;ZA la Carretiere;04130;Volx;Alpes (Hte-Provence);France;
1002069;Sonepar;4;;http://www.sonepar.com;www.abb.com;161 Rue Des Industries ZI;50100;Cherbourg En Contentin;Manche;France;
1002070;Sonepar;4;;http://www.sonepar.com;www.abb.com;51 Boulevard Devaux;78300;Poissy;Yvelines;France;
1002071;Sonepar;4;+33169780571;http://www.sonepar.com;www.abb.com;2, Rue De La Tour Des Dames;75009;Paris;Paris;France;
1002072;SONEPAR - CSO MURET;4;+33562727300;http://https://www.sonepar.fr;www.abb.com;19 B RUE PIERRE DE FERMAT;31600;MURET;Garonne (Haute);France;
1002073;SONEPAR CONNECT;4;+33296286769;http://https://www.sonepar.fr/;www.abb.com;ZI Tres le Bois, Rue Monge;22600;Loudeac;Cotes-d'Armor;France;
1002074;SONEPAR CONNECT;4;+33296 286769;http://www.sonepar.fr;www.abb.com;82 Rue Des Hautes Marches;37520;La Riche;Indre-et-Loire;France;
1002075;Sonepar Connect;4;+33491434223;http://cabus.sonepar.fr;www.abb.com;80 Chemin De La Parette;13010;Marseille;Bouches-du-Rhone;France;
1002076;Sonepar Connect;4;+33549804215;http://https://www.sonepar.fr/;www.abb.com;23B Avenue Leon Blum;64000;Pau;Pyrenees-Atlantiques;France;
1002077;SONEPAR CONNECT;4;+33298413171;http://https://www.sonepar.fr/;www.abb.com;87, AVENUE PIERRE ET MARIE CURIE;06700;Saint-Laurent-du-Var;Alpes-Maritimes;France;
1002078;SONEPAR CONNECT;4;+33235246565;http://tabur-electricite.sonepar.fr/;www.abb.com;61 Rue Gustave Nicolle;76600;Le Havre;Seine-Maritime;France;
1002079;SONEPAR CONNECT;4;+33251681458;http://www.sonepar.fr;www.abb.com;365, Rue de Malitorne - Zone Industrielle II.;18230;Saint-Doulchard;Cher;France;
1002080;SONEPAR CONNECT;4;;http://www.sonepar.fr;www.abb.com;120 rue Bernard Palissy;62750;Loos en Gohelle;Pas-de-Calais;France;
1002081;SONEPAR CONNECT Arras;4;+33321242628;http://www.sanelec.fr;www.abb.com;Rue Montgolfier ZI Est;62000;Arras;Pas-de-Calais;France;
1002082;SONEPAR CONNECT CAEN;4;+33231354100;http://tabur-electricite.sonepar.fr/;www.abb.com;Cours Montalivet;14120;Mondeville;Calvados;France;
1002083;Sonepar connect Courbevoie;4;;http://www.sonepar.fr;www.abb.com;29 rue Bitche;92400;Courbevoie;Hauts-de-Seine;France;
1002084;Sonepar Connect Herblay;4;;http://www.sonepar.fr;www.abb.com;7 Rue Rene Cassin;95220;Herblay;Val-d'Oise;France;
1002085;Sonepar Connect IFS;4;+33231836025;http://www.socolec.com;www.abb.com;Cours Montalivet;14120;Mondeville;Calvados;France;
1002086;sonepar connect Mougins;4;;http://www.sonepar.fr;www.abb.com;609, Route de la Roquette;06250;Mougins;Alpes-Maritimes;France;
1002087;Sonepar Connect St Brieuc;4;+33296681470;http://www.tabur-electricite.sonepar.fr;www.abb.com;30 Rue Chaptal;22000;Saint Brieuc;Cotes-d'Armor;France;
1002088;Sonepar Connect Strasbourg;4;+33 389214140;http://www.sonepar.com;www.abb.com;18 Rue Des Tuileries;67460;Souffelweyersheim;Bas-Rhin;France;
1002089;Sonepar Connect Toulouse Sept Deniers;4;;http://www.sonepar.fr;www.abb.com;3 Rue de l'Egalite;31200;Toulouse;Garonne (Haute);France;
1002090;Sonepar France Grand Public;4;;http://www.sonepar.com;www.abb.com;805 Rue Des Chataigniers;45770;Saran;Loiret;France;
1002091;Sonepar France Grand Public;4;;http://www.sonepar.com;www.abb.com;8 Chemin Du Bois Des Cotes;69530;Brignais;Rhone;France;
1002092;Sonepar France Interservice;4;;http://www.sonepar.com;www.abb.com;1 3 Rue Eugene Varlin;92240;Malakoff;Hauts-de-Seine;France;
1002093;Sonepar France Region Nord-Est;4;+33320622080;http://www.sonepar.com;www.abb.com;Technoparc Les Pres, 33 Allee Lavoisier;59650;Villeneuve D'ascq;Nord;France;
1002094;Sonepar Iberica Spain, S.A.U.;4;+34 950 885 544;http://www.guerin.es;www.abb.com;Alhondiga, 40;04700;Ejido, El;Almeria;Spain;
1002095;Sonepar Iberica Spain, S.A.U.;4;+34968351000;http://www.guerin.es;www.abb.com;P.IND. OESTE C/ SAAVEDRA FAJARDO PA;30169;San Gines;Murcia;Spain;
1002096;Sonepar Iberica Spain, S.A.U.;4;+34950 622 890;http://www.guerin.com;www.abb.com;ESTANO, parc 13 y 14 PGNO. SECTOR 20,0;04009;Almeria;Almeria;Spain;
1002097;Sonepar Ile De France;4;+33169194007;http://www.francobelgeelec.com;www.abb.com;Chemin De Cuiry;45500;Gien;Loiret;France;
1002098;Sonepar Ile De France;4;;http://www.francobelgeelec.com;www.abb.com;13 Rue Clement Ader -Zi Des Ciroliers;91700;Fleury Merogis;Essonne;France;
1002099;Sonepar Ile-De-France;4;;http://www.sonepar.com;www.abb.com;20 Boulevard Du Havre;95220;Herblay;Val-d'Oise;France;
1002100;Sonepar Ile-De-France;4;+33149593939;http://www.sonepar.com;www.abb.com;5/7 AVENUE JULES FERRY;92240;Malakoff;Hauts-de-Seine;France;
1002101;Sonepar Magyarorszag Kereskedelmi es Szolgaltato Kft;4;+36 24 888-000;http://www.sonepar.hu;www.abb.com;Mechwart Andras utca 4;2330;Dunaharaszti;Hungary;Hungary;
1002102;Sonepar Mediterranee;4;+33493890210;http://www.sonepar.com;www.abb.com;31 Rue Edouard Scoffier;06300;Nice;Alpes-Maritimes;France;
1002103;Sonepar Mediterranee Plateforme;4;;http://www.sonepar.com;www.abb.com;Lieu Dit Perigord Nord 2700 Route De Sorgues;84130;Le Pontet;Vaucluse;France;
1002104;SONEPAR MEDITERRANEE ST AUNES;4;+33467871212;http://cce.sonepar.fr;www.abb.com;220 Avenue De Montpellier;34740;Vendargues;Herault;France;
1002105;Sonepar Nord Est - Plateforme Ariane;4;;http://www.sonepar.com;www.abb.com;RUE MARCEL PAUL ZAC DE LA VALLEE;02100;St Quentin;Aisne;France;
1002106;Sonepar OUEST;4;+33299590415;http://www.sonepar.com;www.abb.com;17, Rue des Landelles;35510;Cesson Sevigne;Ille-et-Vilaine;France;
1002107;Sonepar Ouest;4;+33 299222420;http://www.sonepar.com;www.abb.com;ZI SUD - 60 Bd Pierre Lefaucheux;72029;Le Mans;Sarthe;France;
