Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999959;Nextreme Techno Solutions FZCO;4;+971 5282 62260;http://www.nextremetech.com;www.abb.com;Unit 101, DDP, Building A2, Dubai Silicon Oasis;96514;Dubai;Dubai;United Arab Emirates;
999960;NJCSI Pty Ltd;4;+27 861 772 652;http://www.njcsi.com;www.abb.com;80 Old Main Road;3610;Kloof;KwaZulu-Natal;South Africa;
999961;Nordgron OOO;4;+7(391) 2001232;http://www.nordgron.com;www.abb.com;ul.Lado Ketskhoveli, 17A, pom.4;660100;Krasnoyarsk;Krasnoyarsk Territor;Russian Federation;
999962;Nortech Engineering and Automation Ltd;4;+44121 472 3047;http://www.nortechengineering.co.uk;www.abb.com;Unit 2, WOOD GATE BUSINESS PARK, Kettles Wood Dr;B32 3DB;Birmingham;West Midlands;United Kingdom;
999963;Northern Natal Armature Winders Pty Ltd;4;+27 34 315 3278;http://nnaw.co.za;www.abb.com;5 Falkirk St;2940;Newcastle;KwaZulu-Natal;South Africa;
999964;NPP Akvaavtomatika OOO;4;+74999548471;http://www.aquaauto.orc.ru;www.abb.com;Sosnovaya alleya, 6, str.22;124489;Zelenograd;c.Moscow;Russian Federation;
999965;OM ENTERPRISES;4;;;www.abb.com;No.151/3, Railway Banla Para;496001;Raigarh;Chhattisgarh;India;
999966;OMEGA INDUSTRIES;4;+91 80 28366600;http://www.omegaindia.net;www.abb.com;Plot No. 419B, 4th Main, 11th Cross, 4th Phase Peenya Industrial Area;560058;BANGALORE;Karnataka;India;
999967;Opiflex Automation AB;4;+46 010 2069400;http://www.opiflex.se;www.abb.com;Glödgargränd 3;721 30;Västerås;Vastmanlands Lan;Sweden;
999968;Optimum Surec Tasarimi Ve Uygulamalari San Ve Tic Ltd Sti;4;+902643535253;http://optimak.com.tr/iletisim/;www.abb.com;Sogucakosb Mah. 3. Organize san. Böl. (Küme Evler) No:63 Sögütlü;54160;Sakarya;Sakarya;Turkey;
999969;Optimus Doruk Elektrik Elektronik Otomasyon San. Tic. A.S.;4;+90 216 4873346;http://https://www.optimusdoruk.com;www.abb.com;Ordu Mahallesi Emek Caddesi No:4 Sancaktepe;34785;Istanbul;Istanbul;Turkey;
999970;Orebro Lindarverkstad i Orebro AB;4;+4619323288;http://www.lindarverkstan.se/;www.abb.com;Oskarsvagen 38;702 14;Orebro;Orebro Lan;Sweden;
999971;ORIGINATIVE SOLUTIONS NETWORK PVT LTD;4;+911614663321;;www.abb.com;#Street No. 1, Opp. SBI Bank, Akal Sahai NagarMundian Kalan, Ludhiana;144001;Ludhiana;Punjab;India;
999972;Overdrive-Elektro LLC;4;+375172337699;http://www.overdrive.by;www.abb.com;Kahovskaya 37, office 3;220068;Minsk;Minsk;Belarus;
999973;Oxygen Service Co Inc;4;+1 (800) 774-1336;http://www.oxygenservicecompany.com;www.abb.com;1111 Pierce Butler Rte;55104-1450;Saint Paul;Minnesota;United States;
999974;Oy Norcar-BSB Ab;4;+358 6 7812 800;http://www.norcarautomation.com;www.abb.com;Tehtaankatu 7;66901;Uusikaarlepyy;Ostrobothnia;Finland;
999975;P.M.K. Corporation Ltd;4;+6629039999;http://www.pmk.co.th;www.abb.com;99 Moo 8 Soi Wat Pra Ngern, Kanchanaphisek Road, Bangmuang, BangYai;11140;Nonthaburi;Nonthaburi;Thailand;
999976;Paperklip Designs CC T/a MSG Systems;4;+27826592212;http://www.msgsystems.co.za;www.abb.com;85 Pickering Street;6045;Newton Park;Eastern Cape;South Africa;
999977;PAT S.A.;4;+56226035423;http://www.patindustrial.com;www.abb.com;Av. Americo Vespucio 1385, Modulo 33, Quilicura.;8730596;Santiago;Santiago;Chile;
999978;Paul Koster GmbH;4;+49 2982 92110;http://www.paul-koester.de;www.abb.com;Kolpingstr. 1;59964;Medebach;Nordrhein-Westfalen;Germany;
999979;PBA (S) Pte Ltd;4;+65 6576 6766;http://www.pba.com.sg;www.abb.com;505, Yishun Industrial Park A;768733;Singapore;Singapore;Singapore;
999980;PDM Prozessdatenmanagement GmbH;4;+49402269235-0;;www.abb.com;Klaerchenstrasse 9;22299;Hamburg;Hamburg;Germany;
