Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000759;Comptoir Du Sud Ouest CSO;4;+33251897897;http://www.le-cso.com;www.abb.com;5 Rue du Marché Commun;44300;Nantes;Loire-Atlantique;France;
1000760;Comptoir du Sud-Ouest;4;+33561438080;http://www.le-cso.com;www.abb.com;43 Boulevard De Thibaud;31100;Toulouse;Garonne (Haute);France;
1000761;Comptoir du Sud-Ouest;4;+33553684747;http://www.le-cso.com;www.abb.com;Rue Du Midi Zi Agen Sud;47031;Agen;Lot-et-Garonne;France;
1000762;Comptoir Electrique Bisontin;4;+33384476529;http://www.tereva.fr;www.abb.com;430 Rue Du Puits A Sel;39570;Perrigny;Jura;France;
1000763;Comptoir Electrique Bisontin;4;+33381391043;http://www.tereva.fr;www.abb.com;16 Rue Gustave Eiffel;25300;Pontarlier;Doubs;France;
1000764;Comptoir Electrique De Sarrebourg;4;+33387238957;http://www.comptoir-electrique-sarrebourg.fr;www.abb.com;Zone D Activite Ariane;57400;Buhl Lorraine;Moselle;France;
1000765;COMPTOIR ELECTRIQUE FRANCAIS;4;+33472381638;http://yesss-fr.com;www.abb.com;7 Rue Jacques Noel Sane;29900;CONCARNEAU;Finistere;France;
1000766;Comptoir Electrique Francais;4;+33559728629;http://www.yesss-fr.com;www.abb.com;17 Rue Roger Salengro;64000;Pau;Pyrenees-Atlantiques;France;
1000767;Comptoir Electrique Francais;4;;http://www.yesss-fr.com;www.abb.com;23 Rue Du Chemin Ferre;17100;Saintes;Charente-Maritime;France;
1000768;Comptoir Electrique Francais;4;+33472381638;http://yesss-fr.com;www.abb.com;Batiment B 5 Chemin Du Torey;69340;Francheville Belair;Rhone;France;
1000769;COMPTOIR ELECTRIQUE FRANCAIS DR 703 & 717 BRETAGNE;4;;http://www.yesss.fr;www.abb.com;10, RUE DES GUERETS;44352;GUERANDE;Loire-Atlantique;France;
1000770;Comptoir Electrique Francais Yesss Electrique;4;+33238221642;http://www.yesss-fr.com;www.abb.com;32 Rue Des Freres Lumiere;45800;St Jean De Braye;Loiret;France;
1000771;Comptoir Electrique Francais Yesss Electrique;4;+33 556 410723;http://www.yesss-fr.com;www.abb.com;Zi Du Belloc;33340;Lesparre Medoc;Gironde;France;
1000772;Comptoir Electrique Meusien Et Ardennais;4;+33324299595;http://www.cema-elec.fr;www.abb.com;23 Rue Jean Jaures;08204;Sedan;Ardennes;France;
1000773;Comptoir General D Electricite;4;+33326776277;http://www.c-g-e.pro/;www.abb.com;31 Rue Mgr Georges Bejot;51100;Reims;Marne;France;
1000774;COMPTOIR GENERAL DE ROBINETTERIE;4;+33326790707;http://www.cgr-robinetterie.fr;www.abb.com;38 Avenue Paul Vaillant Couturier;51430;Tinqueux;Marne;France;
1000775;Comptoir General D'Electricite;4;+33324562233;http://www.c-g-e.pro/;www.abb.com;1 Rue Des Hautes Chaussees;08000;Charleville Mezieres;Ardennes;France;
1000776;Comptoir General Fers Et Quincai;4;;http://www.comptoirdesfers.com;www.abb.com;Port Fluvial Rue Georges Derrien;71107;Chalon Sur Saone Ce;Saone-et-Loire;France;
1000777;Comptoir General Fers Et Quincai;4;+33385450630;http://www.espace-aubade.fr;www.abb.com;28 Rue Croix Clement;71530;Champforgeuil;Saone-et-Loire;France;
1000778;Comptoir Industriel Regional;4;;http://www.cir.fr;www.abb.com;Zone Industrielle La Chartreuse, 3 Rue Claude Berthollet;81100;Castres;Tarn;France;
1000779;Comptoir Lyonnais D'electricite;4;+33478578057;http://www.sonepar.fr;www.abb.com;3 Rue des Lilas;69290;Craponne;Rhone;France;
1000780;Comptoir Lyonnais D'electricite;4;+33479622162;http://www.sonepardis.fr;www.abb.com;Zi Bissy - 67 Rue Bertholet;73000;Chambery;Savoie;France;
1000781;Comptoir Lyonnais d'Electricite;4;+33474817200;http://www.sonepar.fr;www.abb.com;Rue Francois Rochaix ZI Nord Arbent;01100;Oyonnax;Ain;France;
1000782;Comptoir Lyonnais D'electricite;4;+33477716501;http://www.sonepardis.fr;www.abb.com;44 Boulevard Jean Baptiste Clement;42312;Roanne;Loire;France;
1000783;COMPTOIR MERIDIONAL D'ECLAIRAGE ELECTRIQUE;4;+33563715275;http://www.cmee.fr;www.abb.com;90 Avenue Albert 1er;81100;Castres;Tarn;France;
1000784;Comptoir Negoce Equipement;4;+33326774577;http://www.cne.fr;www.abb.com;9 Rue En Memoire Des Harkis;51100;Reims;Marne;France;
1000785;COMPTOIR TECHNIQUE DES AUTOMATISMES;4;+33320746464;http://www.cta-automation.com;www.abb.com;19 Rue Du General Leclerc;59520;Marquette Lez Lille;Nord;France;
1000786;COMPTOIR VENDEEN DE L ARTISAN;4;+33 251401414;http://www.covap.fr;www.abb.com;Route De La Roche Sur Yon, Plombier Zi La Folie 2;85310;La Chaize Le Vicomte;Vendee;France;
1000787;Conect;4;+33323605931;http://www.conect-elec.fr;www.abb.com;31 Rue De La Roman Rd;02100;Saint Quentin;Aisne;France;
1000788;CONECTORES Y EQUIPOS SUBTERRANEOS SA DE CV;4;+525556570773;http://www.conselmexico.com;www.abb.com;MORALISTAS 3 SAN JOSE ACULCO;09410;IZTAPALAPA;Ciudad de Mexico;Mexico;
1000789;CONECTORES Y SOPORTES ELECTRICOS S.A. DE C.V.;4;+525556570773;http://www.conselmexico.com;www.abb.com;NEUMATOLOGOS 4 COLONIA SAN JOSE ACULCO IZTAPALAPA;09410;Ciudad de Mexico;Ciudad de Mexico;Mexico;
1000790;Connect Systemes;4;+33478901315;http://www.connect-system.fr;www.abb.com;31 Impasse De La Balme;69800;St Priest;Rhone;France;
1000791;Consorcio Amesa Sa De Cv;4;+525556348860;http://www.amesa.com.mx;www.abb.com;Isabel La Catolica # 586, col. Alamos;03400;Del. Benito Juarez;Ciudad de Mexico;Mexico;
1000792;Consultoria en Tecnologia;4;+523321521906;http://cttyr.com/home/;www.abb.com;Vasco de Quiroga 1298;44270;Guadalajara;Jalisco;Mexico;
1000793;CONTELEC S.A.;4;54 2914564545;http://www.contelecsa.com.ar;www.abb.com;Don Bosco 1055;8000;Bahia Blanca;Buenos Aires;Argentina;
1000794;CONTOMATIC S.A.C.I.Y.F.;4;+54 11 44323732;;www.abb.com;Av Directorio 1460;C1406GZQ;Caba;Buenos Aires;Argentina;
1000795;Contragent 35 Eood;4;+359 42 600 131;http://www.contragent.com;www.abb.com;Kvartal Industrialen, Ul. Voyvoda Stoyno Chernogorski, 23;6000;Stara Zagora;Stara Zagora;Bulgaria;
1000796;Control Logic Pty Ltd;4;+61 7 3623 1212;http://www.control-logic.com.au;www.abb.com;25 Lavarack Avenue;4009;Eagle Farm;Queensland;Australia;
1000797;Controles Y Dispositivos Industriales, S.A. De C.V.;4;+525570954850;;www.abb.com;Ayuntamiento No. 93-304 Colonia Centromexico;06050;Distrito Federal;Ciudad de Mexico;Mexico;
1000798;COOPERATIVE ARTISANALE CASEC;4;+33380100010;http://www.orcab.coop;www.abb.com;7 Route Des Essarts;21600;Fenay;Cote-d'Or;France;
