Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001359;Mantenimiento Tecnico Especializado Mte Cia. Ltda.;4;+593 02 2434338;http://www.mte-ecuador.com;www.abb.com;RIO PALORA;170512;Quito;Pichincha;Ecuador;
1001360;Manutan SA;4;;http://www.manutan.com;www.abb.com;Avenue Du 21e Siecle;95500;Gonesse;Val-d'Oise;France;
1001361;Maprise, Sl;4;+34985681200;http://www.maprise.com;www.abb.com;C/ Alfonso Del Riego, 11;33600;Sama De Langreoasturias;Asturias;Spain;
1001362;MAPRISE, SL Mieres;4;+34985464611;http://www.maprise.com;www.abb.com;Pg Residencial Vega De Arriba, 1 A;33600;Mieres;Asturias;Spain;
1001363;Marchiol Kereskedelmi Es Szolgaltato Kft;4;+36 1 236-9060;http://www.marchiol.hu;www.abb.com;Reitter Ferenc utca 172-174;1131;Budapest;Hungary;Hungary;
1001364;Martin Belaysoud Expansion;4;+33474457575;http://www.mb-expansion.fr;www.abb.com;Z I Nord;01000;Bourg En Bresse;Ain;France;
1001365;Mastrangelo Productos Electricos SA;4;54 93415013684;http://www.mastrangelo-pesa.com.ar;www.abb.com;Laprida 2436;2128;Villa Gobernador Galvez;Santa Fe;Argentina;
1001366;Mastrangelo Productos Electricos SA - Suc Arroyo Seco;4;54 3415012866;http://www.mastrangeloneored.com.ar;www.abb.com;Colon 271;2128;Arroyo Seco;Santa Fe;Argentina;
1001367;MAT ELEC;4;+33476059900;http://www.matelec38.com;www.abb.com;Zi le Parvis le Picheras;38500;Voiron;Isere;France;
1001368;Mat Elec;4;;http://www.matelec38.com;www.abb.com;CHEMIN DE ROCHE;38110;Rochetoirin;Isere;France;
1001369;Mat'Eclair;4;+33492281239;http://www.mat-eclair06.fr;www.abb.com;1201 Avenue De La Plaine;06250;Mougins;Alpes-Maritimes;France;
1001370;Materiales Electricos Del Sureste SL;4;+34968344470;http://www.mesur.es/;www.abb.com;Ctra. Del Palmar Km 1.5;30152;Murcia;Murcia;Spain;
1001371;Materiales Electricos E Iluminacion Alejandro Mancini;4;+54 291 4555520;http://www.alejandromancini.com;www.abb.com;J Molina 466;8000;Bahia Blanca;Buenos Aires;Argentina;
1001372;Mathelec distribution;4;+33344646464;http://www.mathelec.fr;www.abb.com;Rue Benoit Frachon;60740;St Maximin;Oise;France;
1001373;Mattle Industrie-Produkte AG;4; +41 44 938 13 33;http://https://shop.mattle-ag.ch/index.php;www.abb.com;Allmendstrasse 8;8320;Fehraltorf;Zurich;Switzerland;
1001374;Maydenki Sdn Bhd;4;+6073511671;http://www.maydenki.com.my;www.abb.com;No. 108 & 110, Jalan Seroja 39 Taman Johor Jaya;81100;Johor Bahru;Johor;Malaysia;
1001375;Mayoreo Electrico de Monterrey, S.A. de C.V.;4;;http://https://bricos.com/;www.abb.com;Av Francisco I Madero 718;64000;Monterrey;Nuevo Leon;Mexico;
1001376;Mb Services Industrie;4;+33 491694052;http://mbservicesindustrie.com;www.abb.com;Quartier Saint Henri 145 Rue Rabelais;13016;Marseille;Bouches-du-Rhone;France;
1001377;Measurement & Control Products Inc;4;+17572299993;;www.abb.com;245 Mclaws Circle, Suite 120;23185-5870;Williamsburg;Virginia;United States;
1001378;Mega Ricton Commercial & Industrial Corporation;4;+6328880215;http://megaricton.bloombiz.com;www.abb.com;Unit 7-B No. 2519 M. Dela Cruz Street;1300;Pasay City;NCR;Philippines;
1001379;Meganor Material Electrico S.L;4;+34881926724;http://www.meganor.eu;www.abb.com;Calle A Nº 47;15180;A Coruna;A Coruna;Spain;
1001380;Melpro;4;+33235616476;http://www.melpro.fr;www.abb.com;9 Rue Marie Jean A Condorcet Zone Industrielle Est;76300;Sotteville Les Rouen;Seine-Maritime;France;
1001381;Mentavill Kft.;4;+36 22 515-545;http://www.mentavill.hu;www.abb.com;Budai ut 177;8000;Szekesfehervar;Hungary;Hungary;
1001382;Mercantil Del Caribe S.A.S;4;+809 565 5797;http://www.mc.com.do;www.abb.com;Avenida John F. Kennedy, Autopista Duarte Km.8;---;Santo Domingo;Santo Domingo;Dominican Republic;
1001383;Mercurio Electricidad;4;+593 3 281 3264;http://www.mercurioit.com/;www.abb.com;Guayaquil 2-32 Antonia Vela;050102;Latacunga;Cotopaxi;Ecuador;
1001384;MESTI Sp. z o.o.;4;+48733700704;http://www.mesti.pl;www.abb.com;ul. Chemiczna 2A;61-013;Poznan;wielkopolskie;Poland;
1001385;MESTRE;4;;http://www.espace-aubade.fr;www.abb.com;100 AVENUE PAUL KRUGER;69100;Villeurbanne;Rhone;France;
1001386;Metales Panamericanos SA;4;+507 370 7777;http://www.metalpan.com;www.abb.com;Via Transistmica, Urbanizacion Industrial Orillac, Calle 28D Oeste;---;Ciudad De Panama;Panama;Panama;
1001387;Metalnor S.r.l.;4;+54 3874060924;http://https://m-electricidad.com/;www.abb.com;Avda Chile 1449;4400;Salta;Salta;Argentina;
1001388;METALUX ASTURIAS S.L.;4;+34981330035;http://www.metalux.es;www.abb.com;C/OS CERAMISTAS, 110-111,PGNO.DO PO;15573;Naron;A Coruna;Spain;
1001389;Metalux Asturias S.L. Vigo;4;+34986260626;http://www.metalux.es;www.abb.com;Camino Raposeira, 16 Sardoma;36214;Vigo;Pontevedra;Spain;
1001390;METALUX CORUNA;4;+34981295355;http://www.metalux.es;www.abb.com;Pgo. Pocomaco Nave E 11 E 12;15190;La Coruna;A Coruna;Spain;
1001391;Metix Ltd;4;+359 745 60 743;http://www.metix.bg;www.abb.com;49 Svoboda Str;2850;Petrich;Blagoevgrad;Bulgaria;
1001392;Metro Elekt. Muhendislik Taahhut Sanayi Ve Ticaret Ltd Sti;4;+90 216 4204040;http://www.metroelektrik.com.tr;www.abb.com;Serifali Mah. Ibrahim Hakki. Sok. No: 36 Umraniye;34775;Istanbul;Istanbul;Turkey;
1001393;Metro Elektrik Muhendislik Taahhut San. ve Tic. Ltd.Sti.;4;+90 232 4721693;http://www.metroelektrik.com.tr;www.abb.com;Emirsultan mh. Gaziler Cd. No:478/407 Konak;35180;Izmir;Izmir;Turkey;
1001394;Metro Elektrik Muhendislik Taahhut Sanayi Ve Ticaret Ltd Sti;4;+90 312 2196816;http://www.metroelektrik.com.tr;www.abb.com;Mustafa Kemal Mah. 2152 Sk. Kent Is MerkeziNo: 2 D: 9-10 Cankaya;06824;Ankara;Ankara;Turkey;
1001395;Micciche Ruben Hugo;4;54 1146552058;;www.abb.com;Gral . Pintos 1004;1768;Villa Madero;Buenos Aires;Argentina;
