Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001972;SC SAS CEF LA FERTE BERNARD AG 197;4;+33243713434;http://www.yesss-fr.com;www.abb.com;Za Les Carrieres;72400;Cherre;Sarthe;France;
1001973;SC SAS CEF LENS AG 272;4;+33321766262;http://www.yesss-fr.com;www.abb.com;RUE DE LA RENARDIERE;62300;LENS;Pas-de-Calais;France;
1001974;SC SAS CEF METZ AG;4;;http://www.yesss-fr.com;www.abb.com;114-116 ROUTE DE THIONVILLE;57140;WOIPPY;Moselle;France;
1001975;SC SAS CEF ST DIZIER AG 211 CEF DR CHAMPAGNE ARDENNES;4;+33325555000;http://www.yesss-fr.com;www.abb.com;67 Bis Ave du General Sarrail;52100;ST DIZIER;Marne (Haute);France;
1001976;SC SAS CEF ST GENIS AG 281;4;;http://www.yesss-fr.com;www.abb.com;54 RUE DU TIOCAN;01630;SAINT GENIS POUILLY;Ain;France;
1001977;SC SAS CEF ST JEAN DE MAURIENNE AG;4;+33479207920;http://www.yesss-fr.com;www.abb.com;50 rue Leonard de Vinci, ZAE du Pre de la Garde;73300;Saint Jean De Maurienne;Savoie;France;
1001978;SC SAS CEF YESSS ELECTRIQUE LE HAVRE;4;;http://www.yesss-fr.com;www.abb.com;SERI PARC - AVENUE DU CANTIPOU - R.N. 15 BATIMENT 3 - NO 33;76700;HARFLEUR;Seine-Maritime;France;
1001979;SC SAS CEF YESSS SAINT LO AG 90;4;+33233056262;http://www.yesss-fr.com;www.abb.com;61 RUE EUGENE VARLIN;50000;ST LO;Manche;France;
1001980;SC SAS CEF-YESSS ELECT LIMONEST;4;;http://www.cef-fr.com;www.abb.com;111 Chemin Bruyere;69760;Limonest;Rhone;France;
1001981;SC SAS -YESSS ELECTRIQUE Montlhery;4;;;www.abb.com;31 rue du Pont Aux Pins;91310;Montlhery;Rhone;France;
1001982;SC SAS -YESSS ELECTRIQUE Villeneuve la Garenne;4;;http://www.yesss-fr.com;www.abb.com;32 34 Avenue Marc Sangnier;92390;Villeneuve la Garenne;Rhone;France;
1001983;SC SAS YESSS PARIS XX ag283;4;+33155255050;http://www.yesss-fr.com;www.abb.com;19 BOULEVARD DAVOUT;75020;PARIS 20eme;Paris;France;
1001984;Schmit Saica;4;;http://www.schmit-industrie.fr;www.abb.com;5 Rue Du Maillet;57100;Thionville;Moselle;France;
1001985;Schuurman Groothandel in Elektrotechniek;4;+31725412300;http://https://www.schuurman.nl;www.abb.com;Fluorietweg 29;1812 RR;Alkmaar;Noord-Holland;Netherlands;
1001986;SCI Electric Public Co Ltd;4;+6623381414;http://www.sci-mfgr.com;www.abb.com;No. 107/1 Moo1 Bangna-Trad Km. 27 Road, T. Bangpleang, A. Bangbor;10560;Samutprakarn;Bangkok;Thailand;
1001987;Sct - Societe Coaxel Toulousaine Toulouse;4;+33 556410411;http://www.rexel.fr;www.abb.com;18 Rue Theron De Montauge;31200;Toulouse;Garonne (Haute);France;
1001988;Sct Bayonne;4;+33561611111;http://www.toutelectric.fr/;www.abb.com;14 Rue Raoul Perpere;64100;Bayonne;Pyrenees-Atlantiques;France;
1001989;Sct Dax;4;;http://www.rexel.fr;www.abb.com;30 Route Des Pyrenees;40180;Narrosse;Landes;France;
1001990;SD Miva Start;4;+359 52 506 130;http://www.mivastart.com;www.abb.com;ul. Topola 13, Et.3 ap. 6;9009;Varna;Varna;Bulgaria;
1001991;SDME;4;+33472258686;http://www.sdme-sonepar.fr;www.abb.com;1 Rue Du Gay - Zi De Thise;25220;Besancon;Doubs;France;
1001992;SECONTROL AUTOMATIZACION, S.A. DE C.V.;4;+529981688562;http://https://secontrol.negocio.site/;www.abb.com;AV. PROLONGACION KABAH MZA 55 LOTE 19 DEPTO 5 REG 230;77516;Cancun;Quintana Roo;Mexico;
1001993;Selecom & Ageve;4;+33473147147;http://www.selecom-ageve.com;www.abb.com;52 Rue Georges Besse;63100;Clermont Ferrand;Puy-de-Dome;France;
1001994;Sentor Electrical Trading LLC;4;+97144210335;http://www.sentorelectrical.com;www.abb.com;Unit 1506 1509 International Business Tower Business Bay;9627;Dubai;Dubai;United Arab Emirates;
1001995;Sentosa Jaya Abadi, CV;4;061-414 4492, 0851 0262 3636;;www.abb.com;Jl.Mojopahit 73B;20112;Medan;Sumatera Utara;Indonesia;
1001996;Sentra Chindra Elesindo, PT Sentra Chindra Elesi;4;021-5696 3565, 021-569 63623;;www.abb.com;Aldiron Hero Complex Block D No. 6 Jl. Daan Mogot 119;11510;Jakarta Barat;Jakarta;Indonesia;
1001997;Servicios De Ingenieria Carlos Lopez and Martinez Cia Ltda;4;+59322864077;http://www.sical.com.ec;www.abb.com;Los Cipreses A Y Josefina Barba 17;EC170135;Quito;Pichincha;Ecuador;
1001998;Shlomo Kahane & Sons (2002) Ltd;4;972 8 8633000;http://www.kahane.co.il;www.abb.com;9 Haomanut;4250443;Netanya;Central;Israel;
1001999;SIAME;4;+216 71 255 299;http://www.siame.com.tn;www.abb.com;Rue des Mathematiques - Zone Industrielle;8030;Grombalia - Tunisie;Nabeul;Tunisia;
1002000;Sideelec;4;+33561131616;http://www.selecom-ageve.com;www.abb.com;54, Rue Negreneys;31200;Toulouse;Garonne (Haute);France;
1002001;Sider;4;+33561131616;http://www.sider.biz;www.abb.com;54 Rue de Negreneys;31200;Toulouse;Garonne (Haute);France;
1002002;Sigma Automation & Instruments;4;9493276236;;www.abb.com;D.No.80 16 8, Kapoor Nivas, Srinivasa Nagar, Reliance tower Building, A.V.A Road;533103;Rajahmundry;Andhra Pradesh;India;
1002003;Sime Sud Jb.F Roussillon;4;+33468521503;http://www.siele.fr;www.abb.com;441 rue Aristide BERGES - Espace Polygone Batiment Les 5 Elements;66000;Perpignan;Pyrenees-Orientales;France;
1002004;Simelectro S.A.S.;4;+33 556891521;http://www.simelectro.com;www.abb.com;30 Rue du Professeur Neel;21601;LONGVIC;Cote-d'Or;France;
1002005;SINIC Pte Ltd;4;+6562502437;http://https://www.sinicpl.com;www.abb.com;1004 Toa Payoh Industrial Park #01-1495;319076;Singapore;Singapore;Singapore;
1002006;SISCA - SIDV L'UNION;4;+33562892250;http://www.sidv.fr;www.abb.com;35 B Route De Bessieres;31240;L Union;Garonne (Haute);France;
1002007;Sisca Sas;4;+33468521503;http://www.sisca.fr;www.abb.com;144 Route De Toulouse;65600;Semeac;;France;
1002008;SISTEMA d.o.o.;4;+385 98 424 929;http://www.sistema.hr;www.abb.com;Poduzetnicka zona 27;52216;Galizana;Istarska;Croatia;
