Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002259;THERMIC CHARPENTIER LE MANS;4;+33243502600;http://www.thermic-charpentier.fr/;www.abb.com;36 Rue Pierre Martin;72100;Le Mans;Sarthe;France;
1002260;THERMIC CHARPENTIER MAYENNE;4;+33243043000;http://www.thermic-charpentier.fr/;www.abb.com;67 Impasse Thomas Alva Edison;53100;Mayenne;Mayenne;France;
1002261;THERMIC CHARPENTIER SAUMUR;4;+33241500510;http://www.thermic-charpentier.fr/;www.abb.com;Rue Des Petites Granges;49400;Saumur;Maine-et-Loire;France;
1002262;THERMIC CHARPENTIER VITRE;4;+33223551870;http://www.thermic-charpentier.fr/;www.abb.com;2 Rue Jean Boucher;35500;Vitre;Ille-et-Vilaine;France;
1002263;Thibal Distribution Sarl;4;+33565490240;http://www.thibal-distribution.fr;www.abb.com;377 Route De Bournac;12400;St Affrique;Aveyron;France;
1002264;Tilcom OOD;4;+359 888 397 064;http://www.tilcom-br.com;www.abb.com;1 Poruchik-Nedelcho Bonchev Street;1528;Sofia;Sofia;Bulgaria;
1002265;Tl-Line Enterprise Sdn. Bhd.;4;+6082-663833 ;http://NIL;www.abb.com;Ground Floor, Lot 1435 (Sl.6), Riveria Square Commercial, Jalan Kota Samarahan Exoressway;94300;Kota Samarahan;Sarawak;Malaysia;
1002266;Todoluz Distribuidora De Componente;4;+5490298 457-1232;http://https://todoluz.com.ar;www.abb.com;Avda Julio A Roca 525;8332;General Roca;La Pampa;Argentina;
1002267;Tofema SA;4;+54 11 4243 1176;http://www.tofema.com.ar;www.abb.com;Av Hipolito Yrigoyen 9275;1832;Lomas De Zamora;Buenos Aires;Argentina;
1002268;TOTAL METERING SOLUTION SDN BHD;4;03-5525 8600;http://www.tms.com.my;www.abb.com;Lot. 2C Jalan Sungai Burung 32/66, Seksyen 32;40460;Shah Alam;Selangor;Malaysia;
1002269;Tovar Electroequipos SA de CV;4;+527791007283;http://www.tesagrupo.com;www.abb.com;V EJE NORTE SUR # LT8 PLANTA BAJA COL ZONA INDUSTRIAL;43804;TIZAYUCA;Hidalgo;Mexico;
1002270;Trade Links;4;+923008422881;http://www.tradelinks.net.pk;www.abb.com;13 Brandrath Road. 1-G .Nayab Chambers;54000;Lahore;Punjab;Pakistan;
1002271;Trade Ventures(Pvt) Ltd;4;+923458555272;http://Not Available;www.abb.com;32-A/2, Zafar Ali Road, Gulberg V;54000;Lahore;Punjab;Pakistan;
1002272;Transformadores y Componentes, S.A. de C.V.;4;+525558767676;http://www.tyc.com.mx;www.abb.com;Union Manzana 2 Lote 13 Casa E;54715;Cuautitlan Izcalli;Estado de Mexico;Mexico;
1002273;Transformadores Y Equipos Electricos De Bcs Sa De Cv;4;+526241303651;http://https://www.grupopetsa.com/;www.abb.com;Av Campo 30 Cerro Colorado;22223;Tijuana;Baja California;Mexico;
1002274;Trapy Pro Sas;4;+33672019195;http://www.trapy.com;www.abb.com;13, Rue Francois Arago;33700;Merignac;Gironde;France;
1002275;Trapy Pro Sas Perigueux;4;+33553079090;http://www.trapy.com;www.abb.com;12-14 Bd De L'industrie Zae Peri-Ouest;24430;Marsac On Isle;Dordogne;France;
1002276;Trielec SA;4;+54 264 4213595;http://www.trielec.com.ar;www.abb.com;9 De Julio - Oeste - 341;5400;San Juan;San Juan;Argentina;
1002277;Tumpa Elektrik Malzeme Tic. ve Paz. A.S.;4;+90 322 4295331;http://www.tumpaelektrik.com;www.abb.com;Yesiloba mah. Turhan Cemal Beriker bulv. Tekel sk. Seyhan Tic. mrkz. C bl. No: 9;01100;Adana;Adana;Turkey;
1002278;Tumpa Elektrik Malzeme Tic. ve Pazarlama A.S.;4;+90 362 4473635;http://www.tumpaelektrik.com;www.abb.com;Hancerli Mahallesi 608. Sokak N0:5 Daire:20. Faktor Ofis/Ilkadim;55020;Samsun;Samsun;Turkey;
1002279;Tumpa Elektrik Malzeme Tic.Ve Paz.A;4;+90 212 2569405;http://tumpaelektrik.com;www.abb.com;Evliya Celebi Mahallesi, Mesrutiyet Cad. Ishani Apt. No:66 / A Beyoglu;34430;Istanbul;Istanbul;Turkey;
1002280;UNELEC S.A. NEUQUEN;4;54 2994403040;http://www.unelec.com.ar;www.abb.com;Perticone 1141;8300;Neuquen;Neuquen;Argentina;
1002281;United Electrical Specialists, Inc;4;+6328085010;http://www.uesphil.com;www.abb.com;Unit 1903 Entrata Tower 1, Civic Drive, Filinvest Corporate City Alabang;1781;Muntinlupa City;NCR;Philippines;
1002282;Vaer Systems Sdn Bhd;4;+6073520533;http://www.vaer.com.my;www.abb.com;17 Jalan Molek 2/5, Taman Molek;81100;Johor Bahru;Johor;Malaysia;
1002283;Vajra Arya Megantara;4;021-2903 0667;http://https://varrmega.com/contact/;www.abb.com;Ruko Plaza de Lumina, blok B no. 25, Jl. Lkr. Luar Barat;---;Jakarta Barat;Jawa Barat;Indonesia;
1002284;Van Egmond Elektrogroothandel BV;4;+31314375300;http://www.vanegmond.nl;www.abb.com;Expeditieweg 4;7007 CM;Doetinchem;Gelderland;Netherlands;
1002285;VARENNE;4;+33473980858;http://www.varenne.fr;www.abb.com;5 Rue Newton, Zi Du Brezet;63015;Clermont Ferrand;Puy-de-Dome;France;
1002286;Vendee Materiel Electrique;4;+33251260069;http://www.sonepar.fr;www.abb.com;135 Rte De Nantes;85300;Challans;Vendee;France;
1002287;VENDEE SANI THERM;4;+33251406180;http://www.vst.fr;www.abb.com;Artipole;85280;La Ferriere;Vendee;France;
1002288;Visio Tim d.o.o.;4;+385 1 4667076;http://www.visio-tim.hr;www.abb.com;Vukomerec 45;10 000;Zagreb;Zagrebacka;Croatia;
1002289;Voltex Pty Ltd;4;0027 21  593 1114;http://www.wacoelec.co.za;www.abb.com;Unit A5 Maitland Park Voortrekker Road;7405;Maitland;Western Cape;South Africa;
1002290;Voltex Pty Ltd Waco Industries;4;0027 11 677 2500;http://www.wacoelec.co.za;www.abb.com;14 Union Street, Union Park;2094;Alberton;Gauteng;South Africa;
