Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999559;A&RT Machinery Pty Ltd;4;+61247315866;http://www.a-rt.com.au/;www.abb.com;28 UNIT 3, COOMBES DRIVE;2750;Penrith;New South Wales;Australia;
999560;A.B. Industrial Supply Corp;4;;http://www.abindustrialsupply.com;www.abb.com;C/10, No.20, Rep.Alma Rosa Santo Domingo Este;---;Santo Domingo;Distrito Nacional;Dominican Republic;
999561;A.M.Tech S.r.l.;4;;http://www.amtech.it;www.abb.com;Via Dei Mulini 156;25039;Travagliato;Brescia;Italy;
999562;A.R Marketing & Services;4;;http://www.armarketingservices.com;www.abb.com;19, Navkiran Rd, Gharkul Society, Ratan Nagar, Four Bungalows, Andheri West;400053;Mumbai;Maharashtra;India;
999563;A4IE SOLUTIONS DOO NOVI SAD;4;+381213825643;;www.abb.com;Bulevar Cara Lazara 40;21000;Novi Sad;Juznobacki okrug;Serbia;
999564;AAR Powerdrives Ltd;4;+44 1384 400800;http://www.aarpowerdrives.co.uk;www.abb.com;Unit 27, Dawley Trading Estate, Stallings Lane;DY6 7AP;Kingswinford;West Midlands;United Kingdom;
999565;AB Elektriska Motorcentralen;4;+46091013085;http://www.elmotorcentralen.se;www.abb.com;Filtergrand 3;931 57;Skelleftea;Vasterbottens Lan;Sweden;
999566;abacon Gesellschaft fur Mess-, Steuer- und Regeltechnik mbH;4;+49 6173 6071-0;http://www.abacon.org;www.abb.com;Hauptstr. 392;65760;Eschborn;Hessen;Germany;
999567;Accionaments I Automatismes G6 SL;4;+34938405545;http://www.factorpotencia.com;www.abb.com;Av. Sant Julia, 204;08403;Granollers;Barcelona;Spain;
999568;Accionaments I Automatismes G6, S.L.;4;+34938405545;http://www.factorpotencia.com;www.abb.com;Avenida Sant Julia 204;08403;Granollers;Barcelona;Spain;
999569;Accis Ltda;4;+56 041 2468214;http://www.accisltda.cl;www.abb.com;Santa Paula 335;;Concepcion;Biobio;Chile;
999570;ACCURATE SOLUTIONS;4;+9196011 76844;http://www.accuratesolution.in;www.abb.com;A-8, Path No. 4, Jamna Nagar, Sodala;302006;Jaipur;Rajasthan;India;
999571;Accure Power Technologies (P) Ltd;4;+918022959228;http://accurepower.com;www.abb.com;No.986,4th M Block, F Cross, SSI Area, Rajajinangar;560010;Bangalore;Karnataka;India;
999572;Accutech Middle East FZCO;4;+97143207944;http://www.accutech.ae;www.abb.com;G-Warehouse-1, Highbay, Silicon Oasis;30495;Dubai;Dubai;United Arab Emirates;
999573;AC-DC Ltd;4;+359 64 802 350;http://www.acdc-bg.com;www.abb.com;Bul. Ruse 19, Et. 2;5800;Pleven;Pleven;Bulgaria;
999574;ACE Pillar Co Ltd;4;;http://www.acepillar.com.tw;www.abb.com;2F., No.7, Ln. 83, Sec. 1, Guangfu Rd.;241;Sanchong Dist.,;New Taipei City;Taiwan (Chinese Taipei);
999575;ACRE Automation Co Ltd;4;;http://www.acre-automation.com;www.abb.com;No. 128, Gaoneng Street, Qixianling, High-tech Industrial Park;116000;Dalian;Liaoning;China;
