Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001559;Rexel - Avon;4;;http://www.rexel.fr;www.abb.com;38 Ave Franklin Roosevelt;77210;Avon;Seine-et-Marne;France;
1001560;Rexel - Bagnols Sur Ceze;4;;http://www.rexel.fr;www.abb.com;233 Avenue De La Roquette - Za Du Berret;30200;Bagnols-Sur-Ceze;Gard;France;
1001561;Rexel - Bar Le Duc;4;;http://www.rexel.fr;www.abb.com;Zi De Popey;55000;Bar-Le-Duc;Meuse;France;
1001562;Rexel - Bayeux;4;;http://www.rexel.fr;www.abb.com;Route De Caen;14400;Bayeux;Calvados;France;
1001563;Rexel - Beaune;4;;http://www.rexel.fr;www.abb.com;56 Route De Seurre;21200;Beaune;Cote-d'Or;France;
1001564;Rexel - Beausoleil;4;;http://www.rexel.fr;www.abb.com;19-21 Avenue Paul Doumer;06240;Beausoleil;Alpes-Maritimes;France;
1001565;Rexel - Beauvais;4;;http://www.rexel.fr;www.abb.com;1 Rue Arago - Zac De Ther;60000;Beauvais;Oise;France;
1001566;Rexel - Belfort-Montbeliard;4;;http://www.rexel.fr;www.abb.com;Grande Rue - Zac De La Varonne;90400;Trevenans;Territ.-de-Belfort;France;
1001567;Rexel - Besancon;4;;http://www.rexel.fr;www.abb.com;3 Rue Du Valset - Zone De Thise;25220;Chalezeule;Doubs;France;
1001568;Rexel - Bethune;4;;http://www.rexel.fr;www.abb.com;Avenue De Washington;62400;Bethune;Pas-de-Calais;France;
1001569;Rexel - Beziers;4;;http://www.rexel.fr;www.abb.com;22 Avenue De La Deveze;34500;Beziers;Herault;France;
1001570;Rexel - Beziers Villeneuve;4;;http://www.rexel.fr;www.abb.com;Rue De St Victor - Bat Les Hesperides;34420;Villeneuve-Les-Beziers;Herault;France;
1001571;Rexel - Bobigny;4;;http://www.rexel.fr;www.abb.com;17-21 Rue Benoit Frachon - Zi Des Vignes;93000;Bobigny;Seine-Saint-Denis;France;
1001572;Rexel - Boulogne Sur Mer;4;;http://www.rexel.fr;www.abb.com;Rue Bleriot - Zi De La Liane;62360;Saint-Leonard;Pas-de-Calais;France;
1001573;Rexel - Bourgoin Jallieu;4;;http://www.rexel.com;www.abb.com;13 Rue Edouard Branly - Zi La Maladiere;38300;Bourgoin Jallieu;Isere;France;
1001574;Rexel - Bourg-Saint-Maurice;4;+33 474282550;http://www.rexel.fr;www.abb.com;581 Rue De Montrigon;73700;Bourg-Saint-Maurice;Savoie;France;
1001575;Rexel - Briancon;4;;http://www.rexel.fr;www.abb.com;20 Rue Des Couteliers;05100;Briancon;Alpes (Hautes);France;
1001576;Rexel - Brignoles;4;;http://www.rexel.fr;www.abb.com;Route De Marseille - Rn 7 Lieu Dit St Jean;83170;Brignoles;Var;France;
1001577;Rexel - Brive La Gaillarde;4;+33494690115;http://www.rexel.fr;www.abb.com;Avenue A Malraux - Zi De Cana;19100;Brive-La-Gaillarde;Correze;France;
1001578;Rexel - Caen;4;;http://www.rexel.fr;www.abb.com;3 Impasse De La Girafe - Zi Du Mont Coco;14000;Caen;Calvados;France;
1001579;Rexel - Calais;4;;http://www.rexel.fr;www.abb.com;2 Rue De Villars;62100;Calais;Pas-de-Calais;France;
1001580;Rexel - Carcassonne;4;;http://www.rexel.fr;www.abb.com;Rue Aristide Berges - Zi La Bouriette;11000;Carcassonne;Aude;France;
1001581;Rexel - Carros;4;;http://www.rexel.fr;www.abb.com;Zac De La Grave - Rte Grave;06510;Carros;Alpes-Maritimes;France;
1001582;Rexel - Chalon Sur Saone;4;;http://www.rexel.fr;www.abb.com;Rue Louis Jacques Thenard - Zi Nord;71100;Chalon-Sur-Saone;Saone-et-Loire;France;
1001583;Rexel - Chalons En Champagne Zi St Martin;4;;http://www.rexel.fr;www.abb.com;Rue Du Grand Champ - Zic;51520;Saint-Martin-Sur-Le-Pre;Marne;France;
