Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000309;Bintang Teknik, CV;4;031-5343885;;www.abb.com;Jl.Jagalan 61, Peneleh, Genteng;60274;Surabaya;Jawa Timur;Indonesia;
1000310;Bizline SAS;4;;http://www.bizline.com;www.abb.com;13 BLD DU FORT DE VAUX;75017;Paris;Paris;France;
1000311;Blanco Grup S.A.;4;54 92994360982;http://www.casablanco.com;www.abb.com;Perticone 685;8300;Neuquen;Neuquen;Argentina;
1000312;Bliek Elektrotechniek B.V.;4;+31765780100;http://www.bliekelektrotechniek.nl;www.abb.com;Zwarthoofd 1;4878 AL;Etten Leur;Noord-Brabant;Netherlands;
1000313;Borri Asia Pacific Engineering Sdn Bhd;4;+60351919098;http://www.borri.it;www.abb.com;No. 13, Jalan Serendah 26/41, Sekitar 26, Seksyen 26;40400;Shah Alam;Selangor;Malaysia;
1000314;Boudard & Cie Materiel Elect Sud Ouest;4;+33467503000;http://www.materiel-electrique-34.com;www.abb.com;Route De Carnon;34477;Perols;Herault;France;
1000315;BP SA;4;+54 3814224427;http://https://bpsolucioneselectricas.com.ar;www.abb.com;San Martin 1301;T4000CWA;San Miguel del Tucuman;Tucuman;Argentina;
1000316;BRACK.CH AG;4;+41 62 889 80 80;http://https://www.brack.ch/;www.abb.com;Hintermattlistrasse 3;5506;Magenwil;Aargau;Switzerland;
1000317;Brana Hermanos SA;4;54 91142832200;http://www.brana.com.ar;www.abb.com;Molina Arrotea 1929;1832;Lomas De Zamora;Buenos Aires;Argentina;
1000318;Breaker Electric Sa De Cv;4;;;www.abb.com;ALLENDE NO. 2618;88209;NUEVO LAREDO;Tamaulipas;Mexico;
1000319;Brico Prive Sas;4;+33231525757;http://www.bricoprive.com;www.abb.com;9-11 Rue De Kourou;31240;L Union;Garonne (Haute);France;
1000320;BROSSETTE;4;+33472720505;http://fr.linkedin.com/company/brossette-wolseley-group-;www.abb.com;23 Rue Crepet;69007;Lyon;Rhone;France;
1000321;BROSSETTE SAINT AIGNAN GRANDLIEU;4;;http://www.cedeo.fr;www.abb.com;15 Rue Antoine De Saint Exupery;44860;St Aignan Grandlieu;Loire-Atlantique;France;
1000322;Brunet Holding;4;+33549623402;http://www.brunet-groupe.fr;www.abb.com;2 B Allee Des Cytises;86360;Chasseneuil Du Poitou;Vienne;France;
1000323;Bruno Cruzzolin E Hijos S.A.;4;+54 0237-4663800;http://www.cruzzolin.com.ar;www.abb.com;ACCESO OESTE KM 34 Y PUENTE G.BELL;---;Moreno;Buenos Aires;Argentina;
1000324;Btc-em;4;+33382885588;http://www.btc-em.com;www.abb.com;11 Rue Des Serruriers;57070;Metz;Moselle;France;
1000325;Buffolo Electricidad SA;4;+5490299 477-0300;http://www.buffolo.com.ar/;www.abb.com;9 De Julio 235;8324;Cipolletti;Rio Negro;Argentina;
1000326;BUILTECH TRADING LLC;4;+97144308620;http://www.builtech.ae;www.abb.com;RUS -W07, International City;47793;Dubai;Dubai;United Arab Emirates;
1000327;Bul-Lighting EOOD;4;+359 2 962 87 00;http://www.bul-lighting.com;www.abb.com;7 Georgi Raychev Str.;1700;Sofia;Sofia;Bulgaria;
1000328;BUMI LIPUTAN PUSAKA, PT;4;0821-5496-1293, 0542-875751, 0542-875751;http://https://www.bumiliputanpusaka.com/;www.abb.com;JL. LETJEND SUPRAPTO NO. 01 MARGASA Balikpapan;41181;Kalimantan Timur;Kalimantan Timur;Indonesia;
1000329;BURON DISTRIBUTION SAS LAVAL;4;;http://www.buron.fr;www.abb.com;169 BOULEVARD DENIS PAPIN;53000;Laval;Mayenne;France;
1000330;BW-DESIGN;4;+48605115715;http://www.bwsystem.pl;www.abb.com;ul. Raclawowka 283C;36-047;Niechobrz;podkarpackie;Poland;
1000331;C.C.E;4;+33479341717;http://www.beicc.fr/;www.abb.com;703 Rue Boucher De La Rupelle;73100;Gresy Sur Aix;Savoie;France;
1000332;C.D. SUD;4;+33496151490;http://www.cd-sud.com;www.abb.com;1 Rue Albert Cohen;13016;Marseille;Bouches-du-Rhone;France;
1000333;C.E.R.A. Technologies;4;+33492008292;http://www.ceratechnologies.com;www.abb.com;253 Boulevard Du Mont Boron;06300;Nice;Alpes-Maritimes;France;
1000334;C2A COOPERATIVE ARTISANALE D ACHAT;4;+33473279722;http://www.C2Aconcept.fr;www.abb.com;1 Rue Andre Marie Ampere;63360;Gerzat;Puy-de-Dome;France;
1000335;CA2E;4;+33160272350;http://www.ca2e.com;www.abb.com;13 Rue Charles Cordier;77164;Ferrieres En Brie;Seine-et-Marne;France;
1000336;CA2E;4;+33145911980;http://www.ca2e.com;www.abb.com;4 Bis Rue Sigonneau Parc Modus;93150;Le Blanc Mesnil;Seine-Saint-Denis;France;
1000337;CA2E;4;+33344836370;http://www.ca2e.com;www.abb.com;7 Rue Du Fonds Pernant;60200;Compiegne;Oise;France;
