1004028;Winterhalter + Fenner AG;4;;verkauf_it@w-f.ch;www.w-f.ch;www.se.com;Worblenstrasse 28;3063;Ittigen;Bern;switzerland;
1004029;Winterhalter + Fenner AG;4;;verkauf_sg@w-f.ch;www.w-f.ch;www.se.com;Edisonstrasse 5;9015;St. Gallen;;switzerland;
1004030;Winterhalter + Fenner AG;4;;verkauf_ro@w-f.ch;www.w-f.ch;www.se.com;Sonnmatthof 6;6023;Rothenburg;;switzerland;
1004031;Winterhalter + Fenner AG;4;;verkauf_wa@w-f.ch;www.w-f.ch;www.se.com;Hertistrasse 31;8304;Wallisellen;;switzerland;
1004060;ElectroLAN SA;4;;vente@electrolan.ch;www.electrolan.ch;www.se.com;Rue de Lausanne 79;1020;Renens;Vaud;switzerland;
1004062;Electroplast SA;4;;info@epgsa.ch;shop.electroplast.ch/ishop/Home.html;www.se.com;Route des Jeunes 25;1227;Carouge;Geneva;switzerland;
1004063;Electroplast SA;4;;info@epgsa.ch;shop.electroplast.ch/ishop/Home.html;www.se.com;Chemin des Léchères 4;1217;Meyrin;Geneva;switzerland;
1004068;Elektro Material AG;4;;em-be@elektro-material.ch;www.elektro-material.ch;www.se.com;Unterlachenstrasse 5;6005;Luzern;Lucerne;switzerland;
1004069;Elektro Material AG;4;;em-lu@e-m.ch;www.elektro-material.ch;www.se.com;Via Industria 6;6814;Lamone-Lugano;Ticino;switzerland;
1004073;Elektro Material AG;4;;em-zh@e-m.ch;www.elektro-material.ch;www.se.com;Heinrichstrasse 200;8005;Zürich;Zurich;switzerland;
1004081;Fabbri SA;4;;info@fabbri.ch;www.fabbri.ch;www.se.com;Via Linoleum 14;6512;Giubiasco;;switzerland;
1004090;Hälg & Co. AG;4;0041848203040;haelg@haelg.ch;www.haelg.ch;www.se.com;Förrlibuckstrasse 66;8031;Zürich;;switzerland;
1004091;Hälg & Co. AG;4;0041848203040;haelg@haelg.ch;www.haelg.ch;www.se.com;Lukasstrasse 30;9008;St. Gallen;St. Gallen;switzerland;
1004093;Hälg & Co. AG Basel;4;0041848203040;haelg@haelg.ch;www.haelg.ch;www.se.com;Hochbergerstraße 60c;4057;Basel;Basel Stadt;switzerland;
1004124;Otto Fischer AG;4;;info@ottofischer.ch;www.ottofischer.ch;www.se.com;Aargauerstrasse 2;8048;Zürich;Zurich;switzerland;
1004321;A. Saesseli & Co AG;4;;info@saesseli.ch;www.elektrogrosshandel.ch;www.se.com;Pflanzschulstrasse 17;8400;Winterthur;Zurich;switzerland;
1004322;Dysbox SA;4;;achat@dysbox04.ch;www.dysbox.ch;www.se.com;Rue de la piscine 10;1950;Sion;;switzerland;
1004323;Electropoint Distribution SA;4;+41323427642;info.bienne@electropoint.ch;https://www.electropoint.ch/page/schneiderelectric;www.se.com;Rue de Longeau 10;2504 ;Bienne;;switzerland;
1004324;Elektro Material AG;4;;em-zh@e-m.ch;www.elektro-material.ch;www.se.com;Heinrichstrasse 200;8005;Zürich;Zurich;switzerland;
1004326;Elektro Material AG;4;;em-be@elektro-material.ch;www.elektro-material.ch;www.se.com;Unterlachenstrasse 5;6005;Luzern;Lucerne;switzerland;
1004327;Elektro Material AG;4;;em-si@elektro-material.ch;www.elektro-material.ch;www.se.com;Rue Traversiére;1950;Sion;Valais;switzerland;
1004328;Elektro Material AG;4;;em-ba@elektro-material.ch;www.elektro-material.ch;www.se.com;Genuastraße 15;4142;Münchenstein;Basel Land;switzerland;
1004329;Elektro Material AG;4;;em-lu@e-m.ch;www.elektro-material.ch;www.se.com;Via Industria 6;6814;Lamone-Lugano;Ticino;switzerland;
1004330;Elektro Material AG;4;;em-be@elektro-material.ch;www.elektro-material.ch;www.se.com;Riedbachstrasse 165;3001;Bern;Bern;switzerland;
1004331;Fabbri SA;4;;info@fabbri.ch;www.fabbri.ch;www.se.com;Via Linoleum 14;6512;Giubiasco;;switzerland;
1004332;Oswald Electric AG;4;0041556501416;info@oswald-electric.ch;www.oswald-electric.ch;www.se.com;Kleinzaun 5;8754;Netstal;Glarus;switzerland;
1004333;Dysbox SA;4;;info@dysbox04.ch;www.dysbox04.ch;www.se.com;Route de la Piscine;1950;Sion;Valais;switzerland;
1004334;Otto Fischer AG;4;;info@ottofischer.ch;www.ottofischer.ch;www.se.com;Aargauerstrasse 2;8048;Zürich;Zurich;switzerland;
1004336;Selmoni Ingenieur AG;4;0041612874420;info@selmoni.ch;www.selmoni.ch;www.se.com;St. Alban-Vorstadt 106;4002;Basel;Basel Stadt;switzerland;
1004337;Sentronic AG;4;+41(0)562223818;mailbox@sentronic.com;https://www.sentronic.com/;www.se.com;Rugghölzli 2;5453;Busslingen;;switzerland;
1004338;Standard AG;4;;info@standard.ch;www.elektrogrosshandel.ch;www.se.com;Freulerstrasse 6;4127;Birsfelden;;switzerland;
1004339;Winterhalter + Fenner AG;4;;verkauf_mu@w-f.ch;www.w-f.ch;www.se.com;Hofackerstrasse 40;4132;Muttenz;;switzerland;
1004340;Winterhalter + Fenner AG;4;;verkauf_sg@w-f.ch;www.w-f.ch;www.se.com;Edisonstrasse 5;9015;St. Gallen;;switzerland;
1004341;Winterhalter + Fenner AG;4;;verkauf_wa@w-f.ch;www.w-f.ch;www.se.com;Hertistrasse 31;8304;Wallisellen;;switzerland;
1004342;Winterhalter + Fenner AG;4;;verkauf_it@w-f.ch;www.w-f.ch;www.se.com;Worblenstrasse 28;3063;Ittigen;Bern;switzerland;
1004343;Winterhalter + Fenner AG;4;;verkauf_ro@w-f.ch;www.w-f.ch;www.se.com;Sonnmatthof 6;6023;Rothenburg;;switzerland;
1004344;EL Kabel AG;4;;info@elkabel.ch;www.elektrogrosshandel.ch/;www.se.com;Leisibachstrasse 9;6037;Root;;switzerland;
1004345;Electro-Materiel SA;4;;em-la@electro-materiel.ch;www.elektro-material.ch;www.se.com;Av. de Longemalle 13;1020;Renens;Vaud;switzerland;
1004346;ElectroLAN SA;4;;vente@electrolan.ch;www.electrolan.ch;www.se.com;Avenue de Longueville 17;2013;Colombier;;switzerland;
1004347;ElectroLAN SA;4;;vente@electrolan.ch;www.electrolan.ch;www.se.com;Rue de Lausanne 79;1020;Renens;Vaud;switzerland;
1004348;Electroplast SA;4;;info@epgsa.ch;shop.electroplast.ch/ishop/Home.html;www.se.com;Route des Jeunes 25;1227;Carouge;Geneva;switzerland;
1004349;Electroplast SA;4;;info@epgsa.ch;shop.electroplast.ch/ishop/Home.html;www.se.com;Chemin des Léchères 4;1217;Meyrin;Geneva;switzerland;
